Artnamn;Antal;Enhet;Antal substrat;Ålder-Stadium;Kön;Aktivitet;Metod;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Djup min;Djup max;Höjd min;Höjd max;Startdatum;Starttid;Slutdatum;Sluttid;Publik kommentar;Intressant kommentar;Privat kommentar;Ej återfunnen;Dölj fyndet t.o.m.;Andrahand;Osäker artbestämning;Ospontan;Biotop;Biotop-beskrivning;Art som substrat;Art som substrat beskrivning;Substrat;Substrat-beskrivning;Offentlig samling;Privat samling;Samlings-nummer;Bestämningsmetod;Artbestämd av;Artbestämd av (fritext);Bestämningsår;Beskrivning artbestämning;Bekräftad av;Bekräftad av (fritext);Bekräftelseår;Länk till BOLD/GenBank;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Externid;Ej funnen
;1;;;;;;;Mellan Skirträsket och Tvärlålandmyran;618880;7214685;100 m;;;;;;2026-07-30;;;;;;;;;;;;Sumpskog;;;;;;;Nils Ericson;NE1;;;;;;;;;;;;;;;;;;;;;
;1;;;;;;;bäckmyran NE Fäboliden;643160;7168387;10 m;;;;456;;2026-06-22;16:19;;;;;;;;;;;;;;;rutnande björklöv under vatten;;;Nils Ericson;NE6;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 40;642709;7170678;5 m;;;;421;;2026-06-23;09:36;;;;;;;;;;;;;;;gammal tallstock;;;Nils Ericson;NE7;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;NV Åliden, NE Fäboliden;642782;7170594;10 m;;;;432;;2026-06-23;09:50;;;;;;;;;;;;;;;bränd tallhögstubbe;;;Nils Ericson;NE8;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;NV Åliden, NE Fäboliden;642956;7170087;10 m;;;;461;;2026-06-23;11:52;;;;;;;;;;;;;;;klippblock;;;Nils Ericson;NE9;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;NV Åliden, NE Fäboliden;643026;7170048;10 m;;;;468;;2026-06-23;12:27;;;;;;;;;;;;;;;Sphagnum;;;Nils Ericson;NE10;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;bäckmyran NE Fäboliden;642644;7168967;10 m;;;;448;;2026-06-24;09:21;;;;;;;;;;;;;;;;;;Nils Ericson;NE11;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;bäckmyran NE Fäboliden;643207;7168437;10 m;;;;453;;2026-06-24;15:06;;;;;;;;;;;;;;;Filipendula;;;Nils Ericson;NE12;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Vinliden;637041;7171932;5 m;;;;505;;2026-06-25;20:21;;;;;;;;;;;;;;;Alchemilla sp.;;;Nils Ericson;NE13;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 29;637196;7171690;5 m;;;;494;;2026-06-26;08:08;;;;;;;;;;;;;;;;;;Nils Ericson;NE14;;;;;;;;;;Nis Ericson;;;;;;;;;;;
